time(YYYY-MM-DD-HH);1-hour mean wind speed at 90m(m/s);Significant wave height(m);Zero-up-crossing period(s)
2014-06-16-12;15.8795;3.2822;6.3764
2014-06-16-13;15.4605;3.3241;6.4990
2014-06-16-14;13.4131;3.2023;6.6138
2014-06-16-15;12.8822;3.0070;6.5846
2014-06-16-16;13.2313;2.8608;6.4537
2014-06-16-17;13.7977;2.7905;6.2937
2014-06-16-18;13.7618;2.7123;6.1274
2014-06-16-19;12.4751;2.5814;5.9983
2014-06-16-20;11.6175;2.4400;5.9859
2014-06-16-21;10.9104;2.3215;5.9773
2014-06-16-22;9.7152;2.2175;6.0004
2014-06-16-23;8.8348;2.1234;6.0660
2014-06-17-00;9.2197;2.0488;6.0074
2014-06-17-01;11.3472;2.0140;5.5845
2014-06-17-02;12.3687;2.0120;5.1554
2014-06-17-03;11.8793;1.9712;5.0408
2014-06-17-04;10.7302;1.8704;5.0498
2014-06-17-05;9.1776;1.7361;5.0850
2014-06-17-06;7.9230;1.5995;5.1215
2014-06-17-07;7.4290;1.4811;5.1066
2014-06-17-08;7.7754;1.3880;4.9709
2014-06-17-09;7.7565;1.3137;4.7842
2014-06-17-10;7.4034;1.2481;4.6704
2014-06-17-11;7.8420;1.1982;4.4993
2014-06-17-12;7.8706;1.1638;4.3143
2014-06-17-13;7.9333;1.1373;4.2044
2014-06-17-14;8.5876;1.1278;4.1200
2014-06-17-15;8.9945;1.1357;4.0270
2014-06-17-16;9.1576;1.1484;4.0279
2014-06-17-17;8.5921;1.1504;4.0758
2014-06-17-18;7.7508;1.1396;4.2003
2014-06-17-19;7.0928;1.1316;4.3574
2014-06-17-20;7.7501;1.1394;4.3899
2014-06-17-21;9.1490;1.1751;4.2850
2014-06-17-22;9.5830;1.2385;4.2270
2014-06-17-23;9.9463;1.3215;4.3128
2014-06-18-00;10.8337;1.4346;4.3967
2014-06-18-01;11.4948;1.5557;4.5262
2014-06-18-02;11.7330;1.6562;4.6332
2014-06-18-03;11.6685;1.7222;4.7354
2014-06-18-04;11.3875;1.7601;4.8303
2014-06-18-05;10.7964;1.7623;4.9204
2014-06-18-06;10.1704;1.7361;4.9730
2014-06-18-07;9.0710;1.6808;5.0504
2014-06-18-08;8.3302;1.6108;5.1230
2014-06-18-09;7.7560;1.5397;5.1616
2014-06-18-10;7.2366;1.4714;5.1810
2014-06-18-11;7.4979;1.4174;5.0974
2014-06-18-12;7.9735;1.3853;4.9338
2014-06-18-13;8.8260;1.3850;4.7435
2014-06-18-14;10.2985;1.4409;4.6281
2014-06-18-15;11.7198;1.6001;4.6228
2014-06-18-16;12.4144;1.8304;4.8194
2014-06-18-17;12.6208;2.0148;5.0942
2014-06-18-18;12.2839;2.0709;5.2278
2014-06-18-19;11.3959;2.0123;5.2742
2014-06-18-20;10.8314;1.9235;5.2395
2014-06-18-21;10.9661;1.8577;5.1638
2014-06-18-22;11.3359;1.8255;5.0625
2014-06-18-23;11.8315;1.8203;4.9605
2014-06-19-00;12.0293;1.8230;4.8957
2014-06-19-01;11.6814;1.8057;4.8798
2014-06-19-02;10.9987;1.7596;4.8694
2014-06-19-03;11.4112;1.7248;4.8078
2014-06-19-04;12.6194;1.7508;4.6826
2014-06-19-05;13.2271;1.8229;4.6860
2014-06-19-06;14.1925;1.9460;4.7355
2014-06-19-07;14.3281;2.0740;4.8643
2014-06-19-08;13.8863;2.1416;5.0125
2014-06-19-09;12.3061;2.1023;5.1530
2014-06-19-10;14.8258;2.1425;5.0304
2014-06-19-11;15.5423;2.2947;5.0122
2014-06-19-12;15.8869;2.4097;5.0993
2014-06-19-13;17.4185;2.5925;5.1305
2014-06-19-14;17.4184;2.7678;5.3269
2014-06-19-15;16.7862;2.8493;5.5361
2014-06-19-16;16.3451;2.8982;5.7037
2014-06-19-17;15.9552;2.9510;5.8886
2014-06-19-18;16.1835;3.0405;6.0242
2014-06-19-19;16.1840;3.1462;6.1911
2014-06-19-20;16.7437;3.2852;6.3092
2014-06-19-21;16.9837;3.4184;6.4181
2014-06-19-22;16.8334;3.4706;6.4853
2014-06-19-23;16.2742;3.4500;6.5343
2014-06-20-00;15.9508;3.4162;6.5694
2014-06-20-01;17.0565;3.5237;6.6416
2014-06-20-02;16.3339;3.6310;6.7604
2014-06-20-03;16.4468;3.6564;6.8311
2014-06-20-04;15.9566;3.5697;6.8173
2014-06-20-05;15.5295;3.4354;6.7472
2014-06-20-06;15.1803;3.3123;6.6676
2014-06-20-07;15.1831;3.2275;6.5938
2014-06-20-08;15.1722;3.1754;6.4951
2014-06-20-09;14.2039;3.0959;6.4676
2014-06-20-10;13.2719;2.9873;6.4662
2014-06-20-11;12.3986;2.8578;6.4446
2014-06-20-12;11.9243;2.7067;6.3490
2014-06-20-13;12.8638;2.5909;6.1324
2014-06-20-14;13.2288;2.5191;5.9108
2014-06-20-15;13.4075;2.4541;5.7420
2014-06-20-16;13.6323;2.3915;5.5600
2014-06-20-17;13.3938;2.3166;5.4456
2014-06-20-18;13.1358;2.2357;5.3329
2014-06-20-19;12.9453;2.1643;5.2463
2014-06-20-20;13.1962;2.1243;5.1588
2014-06-20-21;13.1661;2.1016;5.1075
2014-06-20-22;12.9418;2.0757;5.0901
2014-06-20-23;12.7012;2.0464;5.0843
2014-06-21-00;12.9995;2.0402;5.0591
2014-06-21-01;14.9294;2.1491;5.0491
2014-06-21-02;15.4622;2.3151;5.1372
2014-06-21-03;15.2915;2.4352;5.2846
2014-06-21-04;14.6956;2.4712;5.4081
2014-06-21-05;13.6503;2.4200;5.4833
2014-06-21-06;13.2869;2.3464;5.4827
2014-06-21-07;13.4248;2.3075;5.4359
2014-06-21-08;14.0678;2.3235;5.3772
2014-06-21-09;15.0644;2.4040;5.3374
2014-06-21-10;15.5727;2.5117;5.3663
2014-06-21-11;15.6005;2.5849;5.4348
2014-06-21-12;15.7666;2.6285;5.4774
2014-06-21-13;15.8944;2.6608;5.5017
2014-06-21-14;14.7770;2.6038;5.5458
2014-06-21-15;14.8584;2.5318;5.5033
2014-06-21-16;15.0199;2.5068;5.4448
2014-06-21-17;15.2698;2.5149;5.4139
2014-06-21-18;15.5582;2.5522;5.4159
2014-06-21-19;16.1718;2.6487;5.4633
2014-06-21-20;15.1703;2.6512;5.5877
2014-06-21-21;14.2379;2.5740;5.6394
2014-06-21-22;14.2785;2.5569;5.6675
2014-06-21-23;14.2656;2.5604;5.6829
2014-06-22-00;13.9180;2.5214;5.6766
2014-06-22-01;13.6880;2.4698;5.6552
2014-06-22-02;13.5420;2.4250;5.6253
2014-06-22-03;13.5877;2.3923;5.5837
2014-06-22-04;13.5634;2.3651;5.5417
2014-06-22-05;13.3991;2.3320;5.5065
2014-06-22-06;13.1873;2.2915;5.4322
2014-06-22-07;13.0111;2.2425;5.3864
2014-06-22-08;12.4024;2.1733;5.3595
2014-06-22-09;11.5374;2.0725;5.3422
2014-06-22-10;12.3649;2.0236;5.2451
2014-06-22-11;11.3338;1.9705;5.1985
2014-06-22-12;10.9666;1.8919;5.1783
2014-06-22-13;11.5508;1.8533;5.0781
2014-06-22-14;11.2388;1.8222;5.0244
2014-06-22-15;10.4384;1.7663;5.0130
2014-06-22-16;10.1359;1.7034;4.9958
2014-06-22-17;9.9504;1.6484;4.9326
2014-06-22-18;9.5663;1.5971;4.8975
2014-06-22-19;9.3070;1.5532;4.8625
2014-06-22-20;9.2206;1.5209;4.8348
2014-06-22-21;8.6335;1.4898;4.8490
2014-06-22-22;7.5897;1.4503;4.9610
2014-06-22-23;7.2569;1.4137;5.0521
2014-06-23-00;7.5712;1.3873;5.0193
2014-06-23-01;8.2185;1.3735;4.8643
2014-06-23-02;9.1228;1.3771;4.6615
2014-06-23-03;10.2477;1.4076;4.4581
2014-06-23-04;10.4772;1.4435;4.3920
2014-06-23-05;9.9590;1.4535;4.4546
2014-06-23-06;9.0512;1.4358;4.5644
2014-06-23-07;8.4234;1.4096;4.6586
2014-06-23-08;7.7252;1.3804;4.7576
2014-06-23-09;6.7236;1.3464;4.9058
2014-06-23-10;6.3245;1.3139;5.0252
2014-06-23-11;6.2204;1.2848;5.0693
2014-06-23-12;6.1384;1.2583;5.0805
2014-06-23-13;5.7294;1.2333;5.1011
2014-06-23-14;5.2914;1.2088;5.1568
2014-06-23-15;4.9753;1.1841;5.1806
2014-06-23-16;4.9405;1.1571;5.1703
2014-06-23-17;4.9313;1.1272;5.1308
2014-06-23-18;4.7132;1.0941;5.0862
2014-06-23-19;4.6854;1.0590;5.0340
2014-06-23-20;4.7004;1.0233;4.9610
2014-06-23-21;4.8281;0.9876;4.8619
2014-06-23-22;5.2121;0.9543;4.6776
2014-06-23-23;5.1593;0.9232;4.5041
2014-06-24-00;4.8863;0.8925;4.4328
2014-06-24-01;4.7291;0.8629;4.3996
2014-06-24-02;4.4808;0.8343;4.3876
2014-06-24-03;4.5627;0.8074;4.3431
2014-06-24-04;4.8259;0.7834;4.2128
2014-06-24-05;5.3054;0.7643;3.9829
2014-06-24-06;5.6271;0.7499;3.7685
2014-06-24-07;5.5145;0.7361;3.6801
2014-06-24-08;5.5618;0.7241;3.6282
2014-06-24-09;6.0432;0.7200;3.5313
2014-06-24-10;6.2769;0.7226;3.4484
2014-06-24-11;6.2408;0.7253;3.4480
2014-06-24-12;6.2635;0.7281;3.4537
2014-06-24-13;6.5721;0.7347;3.4421
2014-06-24-14;7.1944;0.7508;3.3661
2014-06-24-15;7.7361;0.7745;3.3246
2014-06-24-16;7.8875;0.7952;3.3171
2014-06-24-17;7.7996;0.8042;3.3396
2014-06-24-18;7.6625;0.8035;3.3582
2014-06-24-19;7.5313;0.7976;3.3828
2014-06-24-20;7.5059;0.7922;3.3767
2014-06-24-21;7.6431;0.7915;3.3540
2014-06-24-22;7.9082;0.7980;3.3276
2014-06-24-23;8.4380;0.8175;3.3223
2014-06-25-00;9.3802;0.8669;3.3364
2014-06-25-01;10.0536;0.9461;3.4000
2014-06-25-02;9.8841;1.0076;3.5233
2014-06-25-03;8.9755;1.0121;3.6411
2014-06-25-04;7.7778;0.9750;3.7249
2014-06-25-05;6.6406;0.9261;3.8336
2014-06-25-06;5.8580;0.8812;3.9295
2014-06-25-07;5.2833;0.8432;4.0076
2014-06-25-08;5.3897;0.8137;3.9926
2014-06-25-09;5.7513;0.7941;3.8463
2014-06-25-10;5.6650;0.7806;3.7372
2014-06-25-11;5.5401;0.7675;3.7013
2014-06-25-12;5.4258;0.7526;3.6874
2014-06-25-13;4.9456;0.7333;3.7260
2014-06-25-14;4.5843;0.7116;3.7748
2014-06-25-15;4.8356;0.6917;3.7404
2014-06-25-16;5.4568;0.6771;3.5848
2014-06-25-17;5.9004;0.6689;3.4010
2014-06-25-18;5.9402;0.6626;3.3089
2014-06-25-19;5.7520;0.6553;3.2972
2014-06-25-20;5.5746;0.6483;3.3097
2014-06-25-21;5.4592;0.6432;3.3239
2014-06-25-22;5.1620;0.6380;3.3699
2014-06-25-23;4.8076;0.6315;3.4424
2014-06-26-00;4.4985;0.6238;3.5215
2014-06-26-01;4.1629;0.6148;3.6022
2014-06-26-02;3.7582;0.6043;3.6904
2014-06-26-03;3.2996;0.5926;3.7822
2014-06-26-04;2.8618;0.5806;3.8606
2014-06-26-05;2.4870;0.5690;3.9070
2014-06-26-06;2.0947;0.5577;3.9275
2014-06-26-07;1.8517;0.5469;3.9363
2014-06-26-08;2.1145;0.5364;3.9383
2014-06-26-09;2.1953;0.5262;3.9345
2014-06-26-10;1.5588;0.5161;3.9247
2014-06-26-11;1.2157;0.5061;3.9086
2014-06-26-12;1.8891;0.4963;3.8862
2014-06-26-13;2.9416;0.4868;3.8079
2014-06-26-14;3.9777;0.4806;3.4136
2014-06-26-15;4.8746;0.4787;3.1965
2014-06-26-16;5.5048;0.4847;2.8629
2014-06-26-17;6.0110;0.4957;2.7038
2014-06-26-18;6.0542;0.5024;2.6747
2014-06-26-19;6.0458;0.5019;2.6672
2014-06-26-20;6.0868;0.4989;2.6475
2014-06-26-21;6.0601;0.4951;2.6309
2014-06-26-22;5.8723;0.4888;2.6339
2014-06-26-23;5.6007;0.4794;2.6488
2014-06-27-00;5.0953;0.4655;2.6888
2014-06-27-01;4.5875;0.4492;2.7408
2014-06-27-02;4.1370;0.4334;2.7997
2014-06-27-03;4.6209;0.4239;2.7587
2014-06-27-04;4.4234;0.4171;2.7468
2014-06-27-05;4.4306;0.4122;2.7473
2014-06-27-06;4.6776;0.4118;2.7055
2014-06-27-07;4.6779;0.4140;2.6773
2014-06-27-08;4.1454;0.4127;2.7434
2014-06-27-09;3.3095;0.4080;2.8957
2014-06-27-10;3.0047;0.4040;3.0325
2014-06-27-11;3.3418;0.4026;3.0747
2014-06-27-12;2.9388;0.4017;3.1456
2014-06-27-13;1.7781;0.4006;3.2622
2014-06-27-14;1.2164;0.4003;3.3249
2014-06-27-15;2.0569;0.4006;3.3716
2014-06-27-16;2.8769;0.4014;3.3660
2014-06-27-17;3.3106;0.4037;3.2317
2014-06-27-18;3.4797;0.4066;3.2096
2014-06-27-19;3.4297;0.4092;3.2513
2014-06-27-20;3.1671;0.4118;3.3186
2014-06-27-21;2.8127;0.4148;3.4317
2014-06-27-22;2.7286;0.4193;3.5450
2014-06-27-23;2.7353;0.4252;3.6384
2014-06-28-00;3.0928;0.4326;3.6547
2014-06-28-01;3.0722;0.4406;3.6831
2014-06-28-02;2.2983;0.4470;3.8418
2014-06-28-03;2.1278;0.4528;3.9628
2014-06-28-04;2.9061;0.4582;3.9800
2014-06-28-05;4.1204;0.4661;3.6882
2014-06-28-06;4.2560;0.4763;3.4326
2014-06-28-07;3.3154;0.4792;3.5022
2014-06-28-08;2.4819;0.4762;3.7726
2014-06-28-09;2.7255;0.4733;3.9254
2014-06-28-10;3.2995;0.4715;3.8449
2014-06-28-11;2.7399;0.4685;3.9261
2014-06-28-12;2.7909;0.4645;3.9913
2014-06-28-13;3.6637;0.4618;3.8115
2014-06-28-14;4.9509;0.4698;3.2262
2014-06-28-15;6.0380;0.5120;2.7178
2014-06-28-16;7.1653;0.5802;2.6923
2014-06-28-17;7.3928;0.6385;2.8533
2014-06-28-18;6.9965;0.6621;3.0118
2014-06-28-19;6.5034;0.6594;3.1069
2014-06-28-20;5.8242;0.6425;3.1847
2014-06-28-21;4.7773;0.6180;3.3152
2014-06-28-22;3.6961;0.5939;3.4869
2014-06-28-23;2.6986;0.5735;3.6345
2014-06-29-00;2.1643;0.5558;3.7017
2014-06-29-01;2.1954;0.5389;3.7333
2014-06-29-02;2.2632;0.5224;3.7460
2014-06-29-03;2.0721;0.5063;3.7464
2014-06-29-04;1.5811;0.4909;3.7378
2014-06-29-05;1.3204;0.4762;3.7224
2014-06-29-06;1.6111;0.4621;3.7015
2014-06-29-07;2.2292;0.4486;3.6759
2014-06-29-08;2.5458;0.4357;3.6353
2014-06-29-09;2.7846;0.4238;3.5441
2014-06-29-10;3.0009;0.4135;3.4077
2014-06-29-11;3.3184;0.4048;3.3003
2014-06-29-12;4.1061;0.4012;3.0641
2014-06-29-13;5.1209;0.4128;2.6716
2014-06-29-14;6.0978;0.4469;2.4859
2014-06-29-15;6.7506;0.4956;2.5345
2014-06-29-16;8.1406;0.5742;2.6169
2014-06-29-17;8.7946;0.6647;2.7815
2014-06-29-18;8.9242;0.7375;2.9643
2014-06-29-19;9.0387;0.7929;3.0932
2014-06-29-20;9.0311;0.8322;3.2167
2014-06-29-21;8.7600;0.8503;3.2949
2014-06-29-22;8.2438;0.8421;3.3483
2014-06-29-23;7.9790;0.8227;3.3640
2014-06-30-00;8.0727;0.8065;3.3374
2014-06-30-01;8.0831;0.7926;3.2996
2014-06-30-02;8.1218;0.7836;3.2424
2014-06-30-03;8.4542;0.7916;3.2422
2014-06-30-04;8.6522;0.8231;3.2796
2014-06-30-05;8.2428;0.8522;3.3869
2014-06-30-06;8.0858;0.8699;3.4850
2014-06-30-07;7.8838;0.8795;3.5354
2014-06-30-08;7.9831;0.8884;3.5612
2014-06-30-09;8.0046;0.9039;3.5880
2014-06-30-10;8.6683;0.9495;3.6326
2014-06-30-11;9.7950;1.0540;3.7308
2014-06-30-12;10.6980;1.2028;3.9154
2014-06-30-13;11.1952;1.3525;4.1417
2014-06-30-14;11.0989;1.4464;4.3029
2014-06-30-15;10.8418;1.4685;4.3830
2014-06-30-16;10.9116;1.4569;4.3754
2014-06-30-17;10.8002;1.4334;4.3432
2014-06-30-18;10.3523;1.3973;4.3335
2014-06-30-19;9.6281;1.3541;4.3400
2014-06-30-20;9.3338;1.3254;4.3629
2014-06-30-21;9.2987;1.3141;4.3630
2014-06-30-22;9.3086;1.3045;4.3412
2014-06-30-23;9.2563;1.2858;4.2846
2014-07-01-00;9.1242;1.2545;4.2326
2014-07-01-01;9.1396;1.2189;4.1603
2014-07-01-02;9.3728;1.1893;4.0648
2014-07-01-03;9.6484;1.1708;3.9507
2014-07-01-04;9.8319;1.1610;3.8800
2014-07-01-05;9.5193;1.1473;3.8713
2014-07-01-06;8.7932;1.1172;3.9098
2014-07-01-07;7.8442;1.0741;3.9698
2014-07-01-08;7.5572;1.0360;3.9954
2014-07-01-09;7.2452;1.0065;3.9956
2014-07-01-10;7.2816;0.9847;3.9665
2014-07-01-11;7.6106;0.9711;3.9049
2014-07-01-12;8.0909;0.9666;3.8258
2014-07-01-13;8.7073;0.9766;3.7213
2014-07-01-14;9.2792;0.9999;3.6798
2014-07-01-15;9.3839;1.0209;3.6770
2014-07-01-16;9.2879;1.0288;3.6966
2014-07-01-17;9.0982;1.0276;3.7183
2014-07-01-18;8.8002;1.0216;3.7450
2014-07-01-19;8.3028;1.0104;3.7732
2014-07-01-20;7.9413;0.9966;3.8076
2014-07-01-21;7.7103;0.9839;3.8437
2014-07-01-22;7.6289;0.9728;3.8604
2014-07-01-23;7.9268;0.9672;3.8254
2014-07-02-00;8.2531;0.9664;3.7824
2014-07-02-01;8.5640;0.9688;3.7193
2014-07-02-02;8.8982;0.9733;3.6855
2014-07-02-03;9.1253;0.9805;3.6441
2014-07-02-04;8.9213;0.9787;3.6374
2014-07-02-05;8.1501;0.9546;3.6526
2014-07-02-06;7.2734;0.9149;3.6814
2014-07-02-07;6.3583;0.8726;3.7433
2014-07-02-08;5.0627;0.8327;3.8766
2014-07-02-09;4.4063;0.7996;3.9905
2014-07-02-10;4.8778;0.7735;3.9917
2014-07-02-11;5.3200;0.7522;3.8680
2014-07-02-12;5.4904;0.7332;3.7197
2014-07-02-13;5.4377;0.7131;3.6253
2014-07-02-14;5.7191;0.6943;3.5159
2014-07-02-15;5.8912;0.6773;3.4008
2014-07-02-16;6.1883;0.6633;3.2752
2014-07-02-17;6.6316;0.6555;3.1367
2014-07-02-18;6.4457;0.6442;3.0847
2014-07-02-19;6.1233;0.6248;3.0789
2014-07-02-20;6.1629;0.6056;3.0333
2014-07-02-21;6.3622;0.5906;2.9519
2014-07-02-22;7.0557;0.5873;2.8165
2014-07-02-23;7.5703;0.5935;2.7196
2014-07-03-00;8.2534;0.6095;2.6517
2014-07-03-01;8.8966;0.6346;2.6424
2014-07-03-02;9.4980;0.6691;2.6573
2014-07-03-03;10.1573;0.7138;2.7030
2014-07-03-04;10.9820;0.7806;2.7758
2014-07-03-05;11.8026;0.8728;2.9076
2014-07-03-06;12.5358;0.9805;3.0667
2014-07-03-07;12.9365;1.0917;3.2365
2014-07-03-08;12.6393;1.1781;3.4536
2014-07-03-09;12.0674;1.2314;3.6371
2014-07-03-10;11.3952;1.2537;3.7982
2014-07-03-11;10.8289;1.2474;3.8792
2014-07-03-12;10.2678;1.2135;3.9014
2014-07-03-13;9.6345;1.1575;3.8854
2014-07-03-14;8.8826;1.0872;3.8384
2014-07-03-15;7.8740;1.0078;3.8106
2014-07-03-16;6.8016;0.9291;3.8150
2014-07-03-17;5.9372;0.8623;3.8414
2014-07-03-18;5.1856;0.8115;3.8984
2014-07-03-19;4.6550;0.7763;3.9743
2014-07-03-20;4.1814;0.7532;4.0664
2014-07-03-21;3.5857;0.7381;4.1941
2014-07-03-22;3.2272;0.7284;4.3216
2014-07-03-23;3.6554;0.7225;4.3861
2014-07-04-00;4.7605;0.7194;4.2495
2014-07-04-01;5.6755;0.7209;3.9341
2014-07-04-02;6.0609;0.7302;3.5160
2014-07-04-03;6.0977;0.7357;3.4314
2014-07-04-04;6.0144;0.7332;3.4309
2014-07-04-05;5.7180;0.7240;3.4567
2014-07-04-06;5.3363;0.7097;3.5005
2014-07-04-07;4.9506;0.6920;3.5523
2014-07-04-08;4.6213;0.6724;3.6020
2014-07-04-09;4.1398;0.6510;3.6751
2014-07-04-10;3.7157;0.6286;3.7615
2014-07-04-11;3.3450;0.6065;3.8449
2014-07-04-12;2.8706;0.5852;3.9359
2014-07-04-13;2.1533;0.5652;4.0171
2014-07-04-14;1.5921;0.5468;4.0436
2014-07-04-15;1.2655;0.5297;4.0529
2014-07-04-16;1.4448;0.5134;4.0527
2014-07-04-17;1.7367;0.4977;4.0441
2014-07-04-18;1.8155;0.4823;4.0269
2014-07-04-19;1.6459;0.4671;4.0011
2014-07-04-20;1.2762;0.4522;3.9670
2014-07-04-21;1.1500;0.4377;3.9237
2014-07-04-22;1.5019;0.4235;3.8706
2014-07-04-23;1.8096;0.4096;3.8073
2014-07-05-00;2.1027;0.3960;3.7347
2014-07-05-01;3.0320;0.3833;3.5388
2014-07-05-02;4.3174;0.3760;3.0541
2014-07-05-03;5.0475;0.3793;2.5965
2014-07-05-04;4.9599;0.3841;2.3774
2014-07-05-05;4.8976;0.3797;2.3671
2014-07-05-06;4.9984;0.3747;2.3416
2014-07-05-07;5.1276;0.3710;2.3042
2014-07-05-08;5.1474;0.3670;2.2877
2014-07-05-09;4.9708;0.3622;2.2993
2014-07-05-10;4.8105;0.3624;2.3439
2014-07-05-11;4.0658;0.3700;2.5067
2014-07-05-12;3.5509;0.3889;2.7552
2014-07-05-13;3.5623;0.4179;2.9913
2014-07-05-14;5.0168;0.4585;2.9626
2014-07-05-15;5.9018;0.5179;2.8385
2014-07-05-16;6.4489;0.5846;2.8750
2014-07-05-17;8.2899;0.6878;2.8923
2014-07-05-18;9.2485;0.8351;3.1377
2014-07-05-19;8.3626;0.9573;3.5402
2014-07-05-20;8.2072;1.0410;3.8436
2014-07-05-21;8.1635;1.0677;3.9522
2014-07-05-22;7.8966;1.0358;3.9252
2014-07-05-23;7.6665;0.9718;3.8169
2014-07-06-00;6.3546;0.8856;3.7731
2014-07-06-01;4.2086;0.7887;3.8709
2014-07-06-02;3.1909;0.7030;3.8946
2014-07-06-03;2.3806;0.6314;3.8372
2014-07-06-04;2.4620;0.5710;3.7503
2014-07-06-05;2.7751;0.5200;3.6551
2014-07-06-06;3.8074;0.4784;3.4289
2014-07-06-07;5.1948;0.4514;3.0039
2014-07-06-08;6.6262;0.4576;2.4353
2014-07-06-09;7.4422;0.4898;2.3367
2014-07-06-10;7.7566;0.5204;2.3961
2014-07-06-11;8.7274;0.5633;2.4425
2014-07-06-12;9.3951;0.6197;2.5384
2014-07-06-13;8.2104;0.6281;2.6846
2014-07-06-14;8.0215;0.6046;2.6966
2014-07-06-15;8.2844;0.6002;2.6555
2014-07-06-16;7.0244;0.5671;2.6781
2014-07-06-17;6.7087;0.5285;2.6333
2014-07-06-18;6.1638;0.4968;2.5991
2014-07-06-19;5.4057;0.4710;2.6216
2014-07-06-20;5.0402;0.4568;2.6668
2014-07-06-21;4.7936;0.4490;2.7119
2014-07-06-22;4.2676;0.4367;2.7689
2014-07-06-23;3.5767;0.4167;2.8388
2014-07-07-00;2.8314;0.3930;2.9059
2014-07-07-01;2.8516;0.3706;2.9085
2014-07-07-02;2.4630;0.3513;2.9111
2014-07-07-03;2.0498;0.3363;2.9196
2014-07-07-04;2.9533;0.3267;2.8796
2014-07-07-05;3.9944;0.3256;2.6651
2014-07-07-06;4.0149;0.3295;2.5636
2014-07-07-07;4.0673;0.3338;2.5332
2014-07-07-08;4.2834;0.3413;2.4912
2014-07-07-09;3.7036;0.3472;2.5627
2014-07-07-10;3.0238;0.3499;2.7300
2014-07-07-11;2.5792;0.3536;2.9017
2014-07-07-12;1.9939;0.3587;3.0559
2014-07-07-13;1.5982;0.3647;3.1652
2014-07-07-14;1.5785;0.3707;3.2467
2014-07-07-15;1.3086;0.3762;3.3210
2014-07-07-16;0.8041;0.3815;3.3912
2014-07-07-17;0.8622;0.3866;3.4580
2014-07-07-18;1.2329;0.3919;3.5199
2014-07-07-19;1.5337;0.3973;3.5749
2014-07-07-20;2.0988;0.4023;3.6207
2014-07-07-21;3.1724;0.4074;3.5233
2014-07-07-22;3.8808;0.4147;3.2923
2014-07-07-23;5.0157;0.4288;2.9394
2014-07-08-00;5.9994;0.4649;2.4715
2014-07-08-01;6.4396;0.5087;2.4815
2014-07-08-02;7.6500;0.5659;2.5048
2014-07-08-03;7.9396;0.6171;2.6450
2014-07-08-04;4.9649;0.6058;2.9318
2014-07-08-05;6.6264;0.5866;2.9080
2014-07-08-06;8.4322;0.6115;2.6577
2014-07-08-07;11.3691;0.7371;2.6063
2014-07-08-08;14.0219;0.9588;2.8609
2014-07-08-09;15.1111;1.2027;3.2126
2014-07-08-10;15.3405;1.4148;3.5728
2014-07-08-11;16.1881;1.6256;3.8405
2014-07-08-12;16.4467;1.8142;4.0955
2014-07-08-13;16.8403;1.9848;4.3123
2014-07-08-14;17.4448;2.1488;4.4882
2014-07-08-15;18.0208;2.3335;4.6546
2014-07-08-16;17.6749;2.4647;4.8744
2014-07-08-17;16.6212;2.5176;5.0573
2014-07-08-18;16.1029;2.5171;5.1923
2014-07-08-19;16.4801;2.5310;5.2376
2014-07-08-20;16.4717;2.5471;5.2449
2014-07-08-21;15.9264;2.5267;5.2685
2014-07-08-22;14.8232;2.4483;5.3041
2014-07-08-23;14.7573;2.3810;5.2899
2014-07-09-00;12.5816;2.2664;5.3544
2014-07-09-01;11.1116;2.1202;5.4120
2014-07-09-02;10.0823;1.9918;5.4484
2014-07-09-03;8.4206;1.8823;5.5774
2014-07-09-04;7.6346;1.7951;5.7221
2014-07-09-05;7.3112;1.7299;5.8406
2014-07-09-06;7.5187;1.6795;5.9181
2014-07-09-07;8.7369;1.6406;5.7841
2014-07-09-08;10.5560;1.6297;5.1475
2014-07-09-09;11.6037;1.6683;4.5750
2014-07-09-10;11.6318;1.6981;4.5433
2014-07-09-11;11.6546;1.7228;4.6316
2014-07-09-12;11.7150;1.7548;4.7096
2014-07-09-13;11.6988;1.7802;4.7757
2014-07-09-14;12.2926;1.8119;4.7710
2014-07-09-15;12.8238;1.8623;4.7553
2014-07-09-16;13.2305;1.9292;4.7779
2014-07-09-17;13.3830;1.9967;4.8395
2014-07-09-18;13.6964;2.0591;4.9061
2014-07-09-19;14.1181;2.1176;4.9387
2014-07-09-20;14.9195;2.1815;4.9258
2014-07-09-21;15.3908;2.2387;4.9152
2014-07-09-22;15.2870;2.2537;4.9252
2014-07-09-23;14.6514;2.2042;4.9380
2014-07-10-00;13.8230;2.1057;4.9227
2014-07-10-01;13.0187;1.9862;4.8715
2014-07-10-02;12.2933;1.8603;4.7951
2014-07-10-03;11.9294;1.7433;4.6903
2014-07-10-04;11.7954;1.6484;4.5423
2014-07-10-05;11.7237;1.5778;4.4266
2014-07-10-06;11.5791;1.5256;4.3446
2014-07-10-07;11.2702;1.4810;4.2958
2014-07-10-08;10.9617;1.4406;4.2632
2014-07-10-09;10.3887;1.3947;4.2526
2014-07-10-10;9.9919;1.3448;4.2197
2014-07-10-11;9.9040;1.2998;4.1710
2014-07-10-12;9.7655;1.2563;4.1126
2014-07-10-13;9.5567;1.2093;4.0512
2014-07-10-14;9.3750;1.1607;3.9825
2014-07-10-15;9.1636;1.1115;3.8934
