time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1996-01-06-02; 0.7263; 3.5018
1996-01-06-03; 0.6190; 3.5471
1996-01-06-04; 0.5266; 3.5429
1996-01-06-05; 0.5512; 3.5271
1996-01-06-06; 0.5497; 3.5098
1996-01-06-07; 0.4771; 3.5442
1996-01-06-08; 0.5613; 3.5026
1996-01-06-09; 0.5726; 3.6239
1996-01-06-10; 0.5334; 3.5663
1996-01-06-11; 0.4846; 3.5113
1996-01-06-12; 0.5357; 3.5104
1996-01-06-13; 0.4704; 3.5723
1996-01-06-14; 0.3362; 3.6547
1996-01-06-15; 0.2656; 3.7428
1996-01-06-16; 0.2901; 3.6468
1996-01-06-17; 0.2352; 3.7223
1996-01-06-18; 0.2996; 3.2587
1996-01-06-19; 0.3882; 3.0904
1996-01-06-20; 0.4294; 3.0663
1996-01-06-21; 0.4993; 3.1085
1996-01-06-22; 0.5364; 3.0932
1996-01-06-23; 0.5266; 3.0501
1996-01-07-00; 0.6889; 3.1815
1996-01-07-01; 0.6622; 3.2606
1996-01-07-02; 0.6164; 3.3279
1996-01-07-03; 0.7507; 3.4234
1996-01-07-04; 0.6754; 3.2853
1996-01-07-05; 0.6306; 3.1678
1996-01-07-06; 0.5613; 3.1226
1996-01-07-07; 0.6072; 3.0895
1996-01-07-08; 0.6730; 3.1620
1996-01-07-09; 0.7157; 3.1632
1996-01-07-10; 0.5424; 3.2888
1996-01-07-11; 0.4521; 3.4007
1996-01-07-12; 0.4171; 3.3819
1996-01-07-13; 0.3756; 3.3913
1996-01-07-14; 0.3290; 3.5607
1996-01-07-15; 0.3479; 3.6971
1996-01-07-16; 0.3277; 3.8956
1996-01-07-17; 0.3277; 3.9621
1996-01-07-18; 0.3265; 3.8751
1996-01-07-19; 0.3277; 3.9004
1996-01-07-20; 0.3513; 4.0001
1996-01-07-21; 0.3456; 4.2475
1996-01-07-22; 0.3570; 4.4891
1996-01-07-23; 0.3290; 4.4529
1996-01-08-00; 0.3386; 3.8595
1996-01-08-01; 0.5830; 3.1265
1996-01-08-02; 0.7350; 3.3611
1996-01-08-03; 0.8676; 3.5181
1996-01-08-04; 0.9643; 3.6580
1996-01-08-05; 0.9767; 3.7177
1996-01-08-06; 1.1211; 3.9279
1996-01-08-07; 1.2448; 3.9828
1996-01-08-08; 1.4278; 4.1690
1996-01-08-09; 1.6980; 4.4227
1996-01-08-10; 1.8283; 4.6264
1996-01-08-11; 2.0267; 4.8822
1996-01-08-12; 2.2754; 5.1139
1996-01-08-13; 2.3961; 5.3551
1996-01-08-14; 2.3323; 5.2668
1996-01-08-15; 2.2972; 5.2643
1996-01-08-16; 2.5519; 5.3540
1996-01-08-17; 2.5690; 5.4912
1996-01-08-18; 2.5530; 5.6411
1996-01-08-19; 2.8733; 6.0015
1996-01-08-20; 2.8383; 6.0075
1996-01-08-21; 3.3017; 6.6744
1996-01-08-22; 3.1543; 6.5546
1996-01-08-23; 3.2985; 6.5692
1996-01-09-00; 3.6481; 6.9326
1996-01-09-01; 3.6057; 7.0288
1996-01-09-02; 3.5492; 7.2804
1996-01-09-03; 3.4116; 7.0479
1996-01-09-04; 3.5411; 7.6413
1996-01-09-05; 3.5065; 7.5662
1996-01-09-06; 3.7109; 7.8293
1996-01-09-07; 3.5448; 7.5013
1996-01-09-08; 3.3838; 8.1660
1996-01-09-09; 3.2896; 8.2101
1996-01-09-10; 3.4241; 8.9278
1996-01-09-11; 3.2268; 9.0927
1996-01-09-12; 2.9408; 8.6348
1996-01-09-13; 3.0273; 9.1475
1996-01-09-14; 2.5637; 8.8105
1996-01-09-15; 2.3340; 8.9742
1996-01-09-16; 2.0802; 8.6718
1996-01-09-17; 1.8122; 8.3704
1996-01-09-18; 2.1471; 8.9140
1996-01-09-20; 2.0930; 8.9713
1996-01-09-21; 2.2620; 9.1555
1996-01-09-22; 2.1701; 9.2246
1996-01-09-23; 2.0830; 9.2491
1996-01-10-00; 2.2378; 9.2927
1996-01-10-01; 2.1216; 9.1548
1996-01-10-02; 1.7900; 9.0682
1996-01-10-03; 1.7345; 9.0345
1996-01-10-04; 1.4011; 8.3072
1996-01-10-05; 1.4709; 8.6883
1996-01-10-06; 1.1653; 8.3340
1996-01-10-07; 1.4348; 8.5957
1996-01-10-08; 1.3804; 7.2260
1996-01-10-09; 1.2897; 7.1163
1996-01-10-10; 1.4589; 6.7192
1996-01-10-11; 1.5417; 6.1038
1996-01-10-12; 1.5883; 6.0582
1996-01-10-13; 1.6639; 5.7156
1996-01-10-14; 1.5827; 5.3784
1996-01-10-15; 1.6569; 5.2119
1996-01-10-16; 1.6521; 5.1232
1996-01-10-17; 1.6487; 4.9824
1996-01-10-18; 1.7004; 4.7951
1996-01-10-19; 1.5430; 4.4785
1996-01-10-20; 1.7213; 4.7992
1996-01-10-21; 1.6931; 4.7466
1996-01-10-22; 1.7853; 4.9546
1996-01-10-23; 1.7989; 5.1174
1996-01-11-00; 1.7432; 5.0721
1996-01-11-01; 1.7326; 5.0835
1996-01-11-03; 2.0788; 5.5148
1996-01-11-04; 2.0397; 5.5940
1996-01-11-05; 1.9556; 5.6341
1996-01-11-06; 2.1170; 6.0367
1996-01-11-07; 1.8908; 5.6131
1996-01-11-08; 1.8353; 5.6356
1996-01-11-09; 1.6924; 5.4987
1996-01-11-11; 1.5144; 5.4635
1996-01-11-12; 1.6108; 5.7974
1996-01-11-14; 1.5494; 5.9184
1996-01-11-15; 1.3207; 5.3376
1996-01-11-16; 1.4000; 6.0528
1996-01-11-17; 1.4750; 6.3154
1996-01-11-18; 1.4635; 7.0340
1996-01-11-19; 1.2728; 6.9152
1996-01-11-20; 1.3024; 7.9388
1996-01-11-21; 1.2608; 7.8035
1996-01-11-22; 1.2816; 8.0055
1996-01-11-23; 1.6088; 8.9771
1996-01-12-00; 1.6151; 9.0631
1996-01-12-01; 1.4652; 9.0119
1996-01-12-02; 1.3082; 8.6818
1996-01-12-03; 1.3234; 8.8376
1996-01-12-04; 1.1601; 8.6091
1996-01-12-05; 1.0157; 7.8893
1996-01-12-06; 1.0650; 8.4457
1996-01-12-07; 0.9767; 8.2782
1996-01-12-08; 0.9750; 8.4806
1996-01-12-09; 0.9585; 8.6243
1996-01-12-10; 0.9261; 8.4540
1996-01-12-11; 0.9881; 9.0217
1996-01-12-12; 0.9200; 8.3074
1996-01-12-13; 0.9998; 8.2021
1996-01-12-14; 1.1096; 8.3588
1996-01-12-15; 0.9157; 7.6405
1996-01-12-16; 0.8763; 7.6969
1996-01-12-17; 0.8394; 6.9823
1996-01-12-18; 0.8361; 5.9461
1996-01-12-19; 0.8008; 5.7265
1996-01-12-20; 0.7576; 5.6221
1996-01-12-21; 0.7660; 5.0149
1996-01-12-22; 0.7681; 4.6326
1996-01-12-23; 0.9605; 4.1852
1996-01-13-00; 1.0302; 4.4126
1996-01-13-01; 1.4314; 4.5425
1996-01-13-02; 1.6235; 4.7533
1996-01-13-03; 2.0110; 4.9254
1996-01-13-04; 2.4523; 5.4580
1996-01-13-05; 2.5777; 5.6532
1996-01-13-06; 2.6827; 5.6935
1996-01-13-07; 2.7393; 5.6623
1996-01-13-08; 2.6800; 5.7827
1996-01-13-09; 3.1843; 6.2757
1996-01-13-10; 2.6745; 6.0554
1996-01-13-11; 2.8848; 6.7123
1996-01-13-12; 2.4369; 6.6193
1996-01-13-13; 2.4966; 7.3926
1996-01-13-14; 1.8270; 6.8124
1996-01-13-15; 1.8237; 7.4000
1996-01-13-16; 1.6242; 7.4131
1996-01-13-17; 1.7068; 7.5844
1996-01-13-18; 1.4569; 7.5228
1996-01-13-19; 1.6267; 8.0952
1996-01-13-20; 1.4414; 7.8438
1996-01-13-21; 1.3033; 7.7676
1996-01-13-22; 1.2940; 6.9382
1996-01-13-23; 1.3219; 7.2788
1996-01-14-00; 1.2204; 7.5663
1996-01-14-01; 1.5014; 8.3259
1996-01-14-02; 1.7969; 9.0847
1996-01-14-03; 1.6232; 9.3074
1996-01-14-04; 1.5993; 9.4777
1996-01-14-05; 1.4102; 9.1783
1996-01-14-06; 1.4589; 9.5724
1996-01-14-07; 1.1532; 9.0311
1996-01-14-08; 1.0777; 8.5265
1996-01-14-09; 1.1204; 8.6329
1996-01-14-10; 1.1186; 7.9098
1996-01-14-11; 1.0918; 8.3872
1996-01-14-12; 1.1193; 9.0381
1996-01-14-13; 1.4605; 9.9734
1996-01-14-14; 1.2547; 9.7130
1996-01-14-15; 1.5310; 9.3920
1996-01-14-16; 1.3763; 7.5060
1996-01-14-17; 1.4755; 6.2287
1996-01-14-18; 1.6133; 5.5665
1996-01-14-19; 1.5104; 4.9140
1996-01-14-20; 1.7487; 4.9978
1996-01-14-21; 2.1049; 5.0910
1996-01-14-22; 2.0761; 5.3894
1996-01-15-00; 2.1383; 5.6593
1996-01-15-01; 2.3450; 6.0196
1996-01-15-02; 2.2183; 6.0421
1996-01-15-03; 2.3373; 6.5094
1996-01-15-04; 2.1557; 6.3124
1996-01-15-05; 2.1087; 6.4110
1996-01-15-06; 2.0231; 6.0306
1996-01-15-07; 1.8488; 6.0209
1996-01-15-08; 1.9056; 6.2098
1996-01-15-09; 1.6198; 6.2524
1996-01-15-10; 1.5328; 6.3396
1996-01-15-11; 1.5144; 5.5106
1996-01-15-12; 1.4125; 4.6565
1996-01-15-13; 1.5424; 4.8133
1996-01-15-14; 1.4423; 4.8321
1996-01-15-15; 1.2900; 4.9147
1996-01-15-16; 1.3137; 5.0225
1996-01-15-17; 1.3008; 5.3038
1996-01-15-18; 1.1233; 5.0994
1996-01-15-19; 0.9986; 5.4786
1996-01-15-20; 1.0479; 5.6834
1996-01-15-21; 0.9684; 5.0784
1996-01-15-22; 0.8132; 5.0083
1996-01-15-23; 0.8003; 5.2353
1996-01-16-00; 0.7279; 5.5354
1996-01-16-01; 0.7329; 5.4187
1996-01-16-02; 0.7334; 6.4469
1996-01-16-03; 0.7016; 6.5162
1996-01-16-04; 0.7968; 4.7895
1996-01-16-05; 1.0650; 4.5751
1996-01-16-06; 0.8536; 4.3000
1996-01-16-07; 0.7581; 4.6976
1996-01-16-08; 0.7050; 4.7428
1996-01-16-09; 0.7862; 4.8085
1996-01-16-10; 0.6924; 4.4088
1996-01-16-11; 0.6318; 4.3596
1996-01-16-12; 0.6500; 4.2939
1996-01-16-13; 0.6801; 4.7786
1996-01-16-14; 0.5959; 4.7522
1996-01-16-15; 0.6771; 5.9291
1996-01-16-16; 0.6567; 4.9076
1996-01-16-17; 0.8341; 4.2951
1996-01-16-18; 0.9025; 4.2940
1996-01-16-19; 1.0046; 4.1154
1996-01-16-20; 1.3310; 4.1970
1996-01-16-21; 1.2643; 4.3240
1996-01-16-22; 1.1598; 4.6277
1996-01-16-23; 1.2112; 4.6782
1996-01-17-00; 1.3678; 4.9789
1996-01-17-01; 1.4514; 5.1456
1996-01-17-02; 1.6458; 5.4189
1996-01-17-03; 1.7987; 5.4550
1996-01-17-04; 2.2173; 5.8204
1996-01-17-05; 2.4165; 6.0985
1996-01-17-06; 2.6703; 6.2325
1996-01-17-07; 2.3178; 6.0979
1996-01-17-08; 2.0534; 5.8947
1996-01-17-09; 2.0999; 5.9945
1996-01-17-10; 1.8751; 5.8425
1996-01-17-11; 2.1605; 6.0226
1996-01-17-12; 2.1940; 6.1591
1996-01-17-13; 2.0915; 6.0967
1996-01-17-14; 1.9807; 6.0337
1996-01-17-15; 1.9940; 5.9178
1996-01-17-16; 1.8136; 5.7535
1996-01-17-17; 2.0249; 5.9905
1996-01-17-18; 2.0255; 6.0019
1996-01-17-19; 1.7460; 5.8089
1996-01-17-20; 1.8331; 6.0479
1996-01-17-21; 1.6093; 5.8648
1996-01-17-22; 1.6136; 5.9341
1996-01-17-23; 1.6845; 6.0677
1996-01-18-00; 1.6540; 6.0472
1996-01-18-01; 1.3974; 5.6402
1996-01-18-02; 1.4359; 5.8354
1996-01-18-03; 1.2756; 5.7549
1996-01-18-04; 1.2289; 5.6641
1996-01-18-05; 1.2753; 5.6475
1996-01-18-06; 1.2828; 5.6332
1996-01-18-07; 1.1190; 5.5096
1996-01-18-08; 1.1803; 5.6140
1996-01-18-09; 1.0987; 5.4363
1996-01-18-10; 1.1985; 5.6244
1996-01-18-11; 1.1749; 5.6588
1996-01-18-12; 1.0998; 5.6761
1996-01-18-13; 1.0973; 5.5171
1996-01-18-14; 1.0387; 5.4797
1996-01-18-15; 1.0349; 5.5511
1996-01-18-16; 1.0464; 5.5598
1996-01-18-17; 1.0499; 5.4083
1996-01-18-18; 1.0815; 5.1321
1996-01-18-19; 1.0518; 5.0205
1996-01-18-20; 1.1150; 5.2503
1996-01-18-21; 1.2296; 5.4353
1996-01-18-22; 1.2441; 5.4180
1996-01-18-23; 1.2595; 5.4392
1996-01-19-00; 1.2678; 5.4895
1996-01-19-01; 1.1847; 5.6842
1996-01-19-02; 1.0661; 5.5899
1996-01-19-03; 1.0082; 5.3250
1996-01-19-04; 0.9300; 5.2043
1996-01-19-05; 1.0165; 5.2744
1996-01-19-06; 0.8881; 4.9277
1996-01-19-07; 0.9038; 5.0854
1996-01-19-08; 0.9261; 4.7462
1996-01-19-09; 1.1035; 4.5937
1996-01-19-10; 1.3067; 4.5772
1996-01-19-11; 1.3346; 4.6156
1996-01-19-12; 1.6083; 4.7608
1996-01-19-13; 1.7305; 4.9216
1996-01-19-14; 1.7638; 5.0082
1996-01-19-15; 1.7900; 5.1154
1996-01-19-16; 1.9756; 5.1942
1996-01-19-17; 2.4857; 5.5350
1996-01-19-18; 2.5192; 5.6477
1996-01-19-19; 2.3708; 5.6400
1996-01-19-20; 2.5997; 5.5151
1996-01-19-21; 2.9884; 5.9303
1996-01-19-22; 3.5877; 6.4517
1996-01-19-23; 3.6788; 6.3985
1996-01-20-00; 4.6759; 6.9566
1996-01-20-01; 5.5815; 7.6578
1996-01-20-02; 5.2555; 7.6620
1996-01-20-03; 4.8878; 7.5311
1996-01-20-04; 4.5391; 7.4825
1996-01-20-05; 4.2638; 7.6906
1996-01-20-06; 3.5491; 7.2947
1996-01-20-07; 3.7491; 7.2737
1996-01-20-08; 3.1389; 6.8764
1996-01-20-09; 2.6271; 7.0191
1996-01-20-10; 2.6716; 7.7191
1996-01-20-11; 2.1261; 7.0548
1996-01-20-12; 1.9648; 7.1841
1996-01-20-13; 1.7929; 6.6944
1996-01-20-14; 1.7448; 7.2952
1996-01-20-15; 1.4679; 7.3503
1996-01-20-16; 1.4567; 7.5181
1996-01-20-17; 1.3088; 7.5533
1996-01-20-18; 1.3957; 8.5572
1996-01-20-19; 1.4241; 9.1069
1996-01-20-20; 1.5822; 9.9396
1996-01-20-21; 1.3965; 9.8308
1996-01-20-22; 1.4080; 9.5439
1996-01-20-23; 1.2971; 9.4738
1996-01-21-00; 1.3948; 9.8998
1996-01-21-01; 1.2403; 9.2366
1996-01-21-02; 1.1275; 8.5191
1996-01-21-03; 0.9131; 8.1148
1996-01-21-04; 0.9484; 6.9735
1996-01-21-05; 1.0224; 7.4762
1996-01-21-06; 1.2813; 7.4189
1996-01-21-07; 1.1762; 6.1785
1996-01-21-08; 1.5401; 7.2574
1996-01-21-09; 1.4434; 6.9548
1996-01-21-10; 1.5242; 7.0187
1996-01-21-11; 1.5466; 7.2575
1996-01-21-12; 1.4687; 7.0870
1996-01-21-13; 1.3628; 6.6498
1996-01-21-14; 1.1955; 5.6893
1996-01-21-15; 1.0391; 4.8975
1996-01-21-16; 1.0792; 4.6378
1996-01-21-17; 1.1346; 4.6153
1996-01-21-18; 1.1476; 4.6828
1996-01-21-19; 1.3228; 5.1435
1996-01-21-20; 1.1636; 5.2928
1996-01-21-21; 1.1518; 5.2633
1996-01-21-22; 1.2621; 5.5066
1996-01-21-23; 1.2760; 5.5129
1996-01-22-00; 1.3745; 5.4399
1996-01-22-01; 1.3094; 5.0734
1996-01-22-02; 1.0925; 4.8059
1996-01-22-03; 1.1653; 4.9714
1996-01-22-04; 1.0616; 4.5003
1996-01-22-05; 1.0506; 4.3765
1996-01-22-06; 1.0050; 4.7055
1996-01-22-07; 0.9205; 4.8492
1996-01-22-08; 0.9157; 5.1699
1996-01-22-09; 0.9812; 5.6953
1996-01-22-10; 1.0936; 6.1164
1996-01-22-11; 1.1006; 6.1272
1996-01-22-12; 1.1100; 6.1373
1996-01-22-13; 1.0314; 5.8521
1996-01-22-14; 0.9330; 5.7253
1996-01-22-15; 0.8078; 5.5383
1996-01-22-16; 0.7608; 5.6038
1996-01-22-17; 0.7464; 5.7210
1996-01-22-18; 0.7235; 5.8038
1996-01-22-19; 0.6998; 5.8388
1996-01-22-20; 0.7388; 6.0931
1996-01-22-21; 0.8038; 6.5924
1996-01-22-22; 0.8132; 6.5993
1996-01-22-23; 0.9676; 6.9017
1996-01-23-00; 1.0643; 6.0153
1996-01-23-01; 1.2681; 5.5512
1996-01-23-02; 1.3646; 4.7814
1996-01-23-03; 1.4400; 4.5959
1996-01-23-04; 1.6453; 4.7333
1996-01-23-05; 1.9296; 4.8136
1996-01-23-06; 1.9591; 4.9491
1996-01-23-07; 1.7776; 4.9086
1996-01-23-08; 1.8559; 5.0012
1996-01-23-09; 1.6947; 5.0999
1996-01-23-10; 1.6685; 4.9110
1996-01-23-11; 1.7846; 5.0900
1996-01-23-12; 1.6900; 4.9956
1996-01-23-13; 1.7077; 5.1160
1996-01-23-14; 1.6019; 5.1075
1996-01-23-15; 1.6128; 5.1570
1996-01-23-16; 1.4701; 5.0947
1996-01-23-17; 1.4863; 4.9778
1996-01-23-18; 1.5210; 5.1078
1996-01-23-19; 1.4235; 5.1501
1996-01-23-20; 1.3646; 5.1789
1996-01-23-21; 1.3334; 5.3232
1996-01-23-22; 1.3039; 5.3503
1996-01-23-23; 1.2601; 5.2830
1996-01-24-00; 1.1261; 5.2746
1996-01-24-01; 1.2406; 5.3526
1996-01-24-02; 1.2224; 5.4335
1996-01-24-03; 1.1952; 5.3216
1996-01-24-05; 1.0729; 5.3116
1996-01-24-06; 1.0090; 5.1020
1996-01-24-07; 0.9412; 5.0364
1996-01-24-08; 0.8886; 4.7905
1996-01-24-09; 0.8531; 4.7928
1996-01-24-10; 0.8171; 4.9181
1996-01-24-11; 0.8088; 4.9945
1996-01-24-12; 0.8176; 5.3349
1996-01-24-13; 0.9056; 6.0547
1996-01-24-14; 1.0376; 4.8762
1996-01-24-15; 1.2438; 4.5685
1996-01-24-16; 1.5976; 4.6406
1996-01-24-17; 1.8429; 4.7382
1996-01-24-18; 2.0907; 5.0829
1996-01-24-19; 2.4187; 5.3575
1996-01-24-20; 2.5259; 5.5935
1996-01-24-21; 3.1444; 6.1227
1996-01-24-22; 3.6444; 6.5198
1996-01-24-23; 3.6989; 6.6805
1996-01-25-00; 3.1092; 6.3382
1996-01-25-01; 3.1520; 6.3808
1996-01-25-02; 3.5897; 6.9607
1996-01-25-03; 3.3585; 6.4814
1996-01-25-04; 2.8172; 6.4339
1996-01-25-05; 2.5058; 6.4030
1996-01-25-06; 2.6467; 6.8053
1996-01-25-07; 2.3259; 6.3417
1996-01-25-08; 2.3099; 6.6190
1996-01-25-09; 2.4087; 6.9895
1996-01-25-10; 2.2020; 7.1313
1996-01-25-11; 2.0217; 6.9358
1996-01-25-12; 1.8823; 6.6306
1996-01-25-13; 1.7126; 6.4561
1996-01-25-14; 1.5651; 6.4534
1996-01-25-15; 1.4676; 5.4789
1996-01-25-16; 1.3893; 5.7903
1996-01-25-17; 1.2499; 5.3224
1996-01-25-18; 1.0635; 4.7919
1996-01-25-19; 1.0563; 4.9222
1996-01-25-20; 1.0422; 4.8865
1996-01-25-21; 1.0399; 4.4680
1996-01-25-22; 0.8890; 4.3159
1996-01-25-23; 0.9382; 5.1346
1996-01-26-00; 0.9403; 5.8069
1996-01-26-01; 0.8768; 6.4903
1996-01-26-02; 0.8850; 6.9817
1996-01-26-03; 0.7301; 7.5190
1996-01-26-04; 0.7279; 8.2507
1996-01-26-05; 0.7307; 6.9205
1996-01-26-06; 0.6941; 5.1873
1996-01-26-07; 0.6438; 4.6499
1996-01-26-08; 0.5816; 5.3981
1996-01-26-09; 0.5402; 6.8669
1996-01-26-10; 0.5143; 6.4954
1996-01-26-11; 0.6013; 5.9031
1996-01-26-12; 0.6151; 6.1863
1996-01-26-13; 0.5932; 7.3501
1996-01-26-14; 0.5641; 6.9414
1996-01-26-15; 0.5775; 6.1697
1996-01-26-16; 0.6394; 5.1851
1996-01-26-17; 0.6830; 3.9447
1996-01-26-18; 0.6912; 4.2620
1996-01-26-19; 0.6375; 4.4528
1996-01-26-20; 0.5297; 4.2709
1996-01-26-21; 0.5705; 4.1393
1996-01-26-22; 0.6388; 3.9231
1996-01-26-23; 0.7010; 4.3051
1996-01-27-00; 0.7655; 4.2573
1996-01-27-01; 0.7491; 4.3182
1996-01-27-02; 0.7856; 4.5659
1996-01-27-03; 0.9240; 4.6915
1996-01-27-04; 0.8759; 4.4639
1996-01-27-05; 0.9526; 4.5424
1996-01-27-06; 1.2608; 4.4898
1996-01-27-07; 1.6131; 4.7722
1996-01-27-08; 1.6409; 4.8079
1996-01-27-09; 1.8357; 4.9350
1996-01-27-10; 2.0290; 5.1728
1996-01-27-11; 2.1697; 5.3376
1996-01-27-12; 2.5388; 5.6330
1996-01-27-13; 2.7875; 5.8399
1996-01-27-14; 2.7304; 5.8109
1996-01-27-15; 2.5510; 5.6373
1996-01-27-16; 2.9619; 5.8704
1996-01-27-17; 3.3573; 5.9544
1996-01-27-18; 3.6558; 6.3093
1996-01-27-19; 4.3623; 6.7902
1996-01-27-20; 4.1325; 6.6497
1996-01-27-21; 3.8728; 6.4579
1996-01-27-22; 4.5582; 7.1108
1996-01-27-23; 4.3376; 6.8383
1996-01-28-00; 4.8079; 7.3075
1996-01-28-01; 5.4854; 7.5650
1996-01-28-02; 5.1614; 7.4714
1996-01-28-03; 4.9053; 7.8130
1996-01-28-04; 4.4243; 7.5667
1996-01-28-05; 3.7693; 7.7804
1996-01-28-06; 4.1873; 8.1587
1996-01-28-07; 3.1189; 6.8887
1996-01-28-08; 3.6098; 7.5450
1996-01-28-09; 3.0964; 7.2825
1996-01-28-10; 2.5478; 6.6744
1996-01-28-11; 2.4301; 6.9366
1996-01-28-12; 2.4152; 6.7161
1996-01-28-13; 1.9944; 6.4539
1996-01-28-14; 2.3894; 7.1129
1996-01-28-15; 2.0454; 6.2874
1996-01-28-16; 2.2531; 6.6821
1996-01-28-17; 2.0724; 5.7789
1996-01-28-18; 2.0720; 5.6883
1996-01-28-19; 1.8042; 5.8759
1996-01-28-20; 1.4695; 5.2205
1996-01-28-21; 1.5414; 6.9206
1996-01-28-22; 1.2364; 6.9038
1996-01-28-23; 1.2978; 8.1665
